Komisyon Gelirleri;0;0;0;0
Komisyon Giderleri (-);0;0;0;0
Konusu Kalmayan Karşılıklar;0;0;0;0
Menkul Kıymet Satış Zararları (-);0;0;0;0
Menkul Kıymetler Satış Karları;0;0;0;0
M-FİNANSMAN GİDERİ ÖNCESİ FAALİYET KARI ZARARI;8598428.619999995;5033224.549999971;14323379.46999986;1678302.389999915
N-Finansman Giderleri;6995810.76;1745138.89;1367177.57;0
O-OLAĞAN KAR VEYA  ZARAR;1602617.86;3288085.66;12956201.9;1678302.39
Önceki Dönem Gelir ve Karları;0;0;0;0
Önceki Dönem Gider ve Zararları (-);0;0;0;0
Reeskont Faiz Gelirleri;0;0;0;0
Reeskont Faiz Giderleri (-);0;0;0;0
Sabit Kıymet Satış Karı;0;0;0;0
Satılan Hizmet Maliyeti (-);0;0;429224.07;748112.12
Satılan Mamuller Maliyeti (-);1386617.9;3519184.7;12877339.35;17418947.08
Satılan Ticari Mallar Maliyeti (-);174655525.91;270254871.31;515792965.18;478170782.43
Satış Iskontoları (-);672.46;27305.47;296169.98;108495.91
Satış İadeleri (-);4120571.99;8013166.52;15418387.55;11141545.27
Yatırım Faaliyetlerinden Giderler;0;0;0;0
Yurtdışı Satışlar;44825984.99;43311498.12;80214082.55;9015157.6
Yurtiçi Satışlar;150812052.51;257241669.41;508080900.53;551064827.84
Z1-DÖNEM KARI VERGİ VE DİĞ.YASAL YÜKÜMLÜLÜK KARŞILIĞI;352352.8;840334.41;3086695.11;0
Z-DÖNEM KARI/ZARARI;1531968.71;3273913.51;12676271.25;428049.89
ZT-DÖNEM NET KARI/ZARARI;1179615.91;2433579.1;9589576.14;428049.89
